SDFB Group ID,Name,Description,Start Year Type,Start Year,End Year Type,End Year
6,Contributors to A Mirror for Magistrates,Contributors to A Mirror for Magistrates,IN,1553,IN,1563
7,Marian martyrs,Marian martyrs,CA,1555,CA,1558
26,Cavalier poets,Cavalier poets,BF/IN,1640,AF/IN,1660
58,Puritans,Puritans,CA,1532,AF,1700
13,Castalian band,Castalian band,IN,1584,IN,1603
10,Participants in the vestiarian controversy,Participants in the vestiarian controversy,CA,1563,CA,1570
11,Jesuit missionaries to England,Jesuit missionaries to England,IN,1540,CA,1700
20,Pilgrim Fathers,Pilgrim Fathers,CA,1620,CA,1620
21,Sons of Ben,Sons of Ben,CA,1620,CA,1629
29,Westminster assembly,Westminster assembly,IN,1643,IN,1652
30,Invisible College,Invisible College,IN,1646,IN,1647
32,Kirk party,Kirk party,IN,1648,IN,1651
33,Protectoral council,Protectoral council,IN,1653,IN,1659
35,Major-generals,Major-generals,IN,1655,IN,1657
37,Participants in the Savoy conference,Participants in the Savoy conference,IN,1661,IN,1661
38,Participants in the Pentland rising,Participants in the Pentland rising,IN,1666,IN,1666
42,Immortal seven,Immortal seven,IN,1688,IN,1688
46,Darien investors and colonists,Darien investors and colonists,IN,1695,IN,1707
16,Metaphysical poets,Metaphysical poets,CA,1600,CA,1690
48,Ranters,Ranters,CA,1649,CA,1660
51,Muggletonians,Muggletonians,CA,1651,AF,1800
47,Kit-Cat Club,Kit-Cat Club,IN,1696,IN,1720
45,Whig junto,Whig junto,CA,1694,CA,1716
54,Erastians,Erastians,CA,1643,CA,1649
5,Contributors to the metrical psalter of 1562,Contributors to the metrical psalter of 1562,CA,1549,IN,1562
76,Signatories of the Death Warrant of Charles I,59 signatories of Charles' death warrant; a subset of the Group 'Regicides',IN,1649,IN,1649
12,Members of the Dedham conference,Members of the Dedham conference,IN,1582,IN,1589
53,Presbyterians,Presbyterians,CA,1560,AF,1800
55,Independents,Independents,BF,1642,AF,1660
40,Green Ribbon Club,Green Ribbon Club,CA,1674,CA,1683
3,Monastic visitors in England and Wales,Monastic visitors in England and Wales,IN,1535,IN,1536
83,Queen Anne's Men,A theatrical troupe formerly known as Worcester's Men,IN,1603,IN,1619
70,East India Company,East India Company,IN,1600,AF,1800
8,Lords of the congregation,Lords of the congregation,IN,1557,IN,1560
64,Hartlib Circle,Hartlib Circle,CA,1630,CA,1660
75,Royal Africa Company,Royal Africa Company,IN,1660,IN,1752
63,Great Tew Circle,"group of scholars who studied at the home of Lucius Cary, Viscount Falkland, in Great Tew, Oxfordshire",IN,1633,IN,1639
27,Five members,Five members,IN,1641,IN,1641
1,Henry VII's council learned in the law,Henry VII's council learned in the law,CA,1499,IN,1509
18,Founders of the Virginia Company,Founders of the Virginia Company,IN,1606,IN,1624
28,Smectymnuus,Smectymnuus,IN,1641,IN,1641
78,Epic Poets,Those who wrote epic poems ,BF,1500,AF,1800
74,Somers Island Company,Somers Island Company,IN,1615,IN,1684
73,Muscovy Company,Muscovy Company,IN,1555,AF,1800
52,Socinians,Socinians,CA,1540,AF,1800
50,Levellers,Levellers,CA,1647,AF,1649
79,Dissenters,Religious dissenters from the Church of England,BF/IN,1550,AF,1800
68,Lord Chamberlain's Men,"theatrical company established by Henry Carey, Baron Hunsdon
",IN,1594,IN,1642
44,Society of the Virtuosi of St Luke,Society of the Virtuosi of St Luke,CA,1689,IN,1743
80,Mathematicians,People associated with the mathematics or self-identifying as mathematicians and lovers of mathematics,BF,1400,AF,1800
77,Regicides,"those involved in the death of Charles I; a broader class than the more specific group, 'Signatories of the death warrant of Charles I'",IN,1649,IN,1649
71,Merchant Taylors Company,Merchant Taylors Company,BF,1400,AF,1800
4,Participants in the Pilgrimage of Grace,Participants in the Pilgrimage of Grace,IN,1536,IN,1537
34,Sealed Knot,Sealed Knot,IN,1653,IN,1659
43,Nonjuring bishops,Nonjuring bishops,IN,1689,IN,1710
24,Providence Island Company,Providence Island Company,IN,1630,IN,1641
56,Quakers,Quakers,CA,1650,AF,1800
59,Royalists,Royalists,CA,1641,CA,1678
