ID,ODNB_ID,displayName,prefix,firstName,lastName,suffix,title,gender,birthYearType,birthYear,deathYearType,deathYear
10005815,13002,James Hepburn,,James,Hepburn,,,male,IN,1573,AF/IN,1623
10007183,16127,John Laurence,,John,Laurence,,,male,IN,1668,IN,1732
10005953,13283,Joseph Hill,,Joseph,Hill,,,male,IN,1625,IN,1707
10011043,25406,Andrew Shilling,,Andrew,Shilling,,,male,AF,1511,IN,1621
10004471,9910,Sir John Forster,Sir,John,Forster,,,male,IN,1515,IN,1602
10010838,24975,John Scudamore,,John,Scudamore,,,male,IN,1601,IN,1671
10006834,15369,Gilbert Kennedy,,Gilbert,Kennedy,,,male,IN,1541,IN,1576
10010293,23623,Thomas Ridgeway,,Thomas,Ridgeway,,,male,IN,1565,IN,1632
10007984,49668,Thomas Marow,,Thomas,Marow,,,male,IN,1460,IN,1505
10008175,18522,Brian Melbancke,,Brian,Melbancke,,,male,AF,1490,IN,1600
10005954,13284,Joseph Hill,,Joseph,Hill,,,male,IN,1667,IN,1729
10013018,29775,William Wintersel,,William,Wintersel,,,male,AF,1569,IN,1679
10002264,5069,David Chalmers of Ormond,,David,Chalmers,of Ormond,,male,IN,1533,IN,1592
10003536,66390,Nicholas Dixon,,Nicholas,Dixon,,,male,CA,1645,IN,1708
10006282,13947,Lord William Howard,Lord,William,Howard,,,male,IN,1563,IN,1640
10006721,0,Jacob Jordaens,,Jacob,Jordaens,,,male,IN,1593,IN,1678
10004637,69083,Mary Gadbury,,Mary,Gadbury,,,female,CA,1619,BF,1729
10000491,1027,Thomas Bagard,,Thomas,Bagard,,,male,AF,1434,IN,1544
10012589,28843,John Watson,,John,Watson,,,male,AF,1427,IN,1537
10007404,16620,James Ley,,James,Ley,,,male,IN,1618,IN,1665
10007589,58144,Sir Walter Long,Sir,Walter,Long,,,male,IN,1591,IN,1672
10006692,68197,John Jones,,John,Jones,,,male,BF,1585,BF/IN,1658
10006740,15154,George Joyliffe,,George,Joyliffe,,,male,IN,1621,IN,1658
10011556,26480,James Stewart,,James,Stewart,,,male,IN,1565,IN,1592
10007758,69917,Alexander MacDonald of Dunyvaig and the Glens,,Alexander,MacDonald,of Dunyvaig and the Glens,,male,AF,1426,IN,1536
10011605,53119,William Stonestreet,,William,Stonestreet,,,male,IN,1659,IN,1716
10011416,24508,Christopher St Lawrence,,Christopher,St Lawrence,,,male,AF,1509,IN,1619
10010074,23030,William Rainolds,,William,Rainolds,,,male,CA,1544,IN,1594
10003152,93684,Thomas Cure,,Thomas,Cure,,,male,AF,1478,IN,1588
10006508,68331,Gilbert Jackson,,Gilbert,Jackson,,,male,IN,1621,IN,1643
10009329,21342,Sir Thomas Parker,Sir,Thomas,Parker,,,male,IN,1695,IN,1784
10000659,68873,John Barlow,,John,Barlow,,,male,IN,1517,IN,1552
10008677,19712,Daniel Mytens,,Daniel,Mytens,,,male,IN,1590,IN,1647
10012689,29053,Thomas Wentworth,,Thomas,Wentworth,,,male,IN,1501,IN,1551
10007732,17374,Uilliam Mac Cairteain,,Uilliam,Mac Cairteain,,,male,IN,1667,IN,1724
10010068,70911,Robert Raikes,,Robert,Raikes,,,male,IN,1690,IN,1757
10008412,19060,Hugh Montgomery,,Hugh,Montgomery,,,male,IN,1613,IN,1669
