ID,person1ID,person2ID,startYearType,startYear,endYearType,endYear
100060917,10002849,10012976,AF/IN,1555,BF/IN,1629
100060918,10002849,10013132,AF/IN,1568,BF/IN,1629
100060920,10002850,10003281,AF/IN,1518,BF/IN,1537
100060923,10002850,10004410,AF/IN,1518,BF/IN,1586
100060924,10002850,10004478,AF/IN,1518,BF/IN,1539
100060926,10002850,10004684,AF/IN,1518,BF/IN,1555
100060928,10002850,10005217,AF/IN,1537,BF/IN,1554
100060929,10002850,10005641,AF/IN,1518,BF/IN,1572
100060931,10002850,10005883,AF/IN,1546,BF/IN,1604
100060932,10002850,10005974,AF/IN,1518,BF/IN,1587
100060934,10002850,10006282,AF/IN,1563,BF/IN,1604
100060935,10002850,10006635,AF/IN,1549,BF/IN,1602
100060937,10002850,10006959,AF/IN,1518,BF/IN,1540
100060938,10002850,10006992,AF/IN,1546,BF/IN,1604
100060940,10002850,10006994,AF/IN,1540,BF/IN,1603
100060942,10002850,10009320,AF/IN,1518,BF/IN,1575
100060943,10002850,10009335,AF/IN,1518,BF/IN,1575
100060945,10002850,10009358,AF/IN,1518,BF/IN,1547
100060948,10002850,10010671,AF/IN,1530,BF/IN,1581
100060949,10002850,10010840,AF/IN,1550,BF/IN,1603
100060951,10002850,10011324,AF/IN,1518,BF/IN,1559
100060953,10002850,10012116,AF/IN,1537,BF/IN,1553
100060955,10002850,10012119,AF/IN,1518,BF/IN,1547
100060956,10002850,10012122,AF/IN,1518,BF/IN,1558
100060957,10002850,10012421,AF/IN,1518,BF/IN,1561
100060959,10002850,10012493,AF/IN,1577,BF/IN,1604
100060960,10002850,10012494,AF/IN,1560,BF/IN,1604
100060962,10002850,10012689,AF/IN,1518,BF/IN,1551
100060964,10002850,10012691,AF/IN,1567,BF/IN,1604
100060965,10002850,10013182,AF/IN,1521,BF/IN,1554
100060968,10002851,10010358,AF/IN,1663,BF/IN,1723
100060970,10002851,10012481,AF/IN,1663,BF/IN,1700
100060974,10002852,10003693,AF/IN,1585,BF/IN,1614
100060975,10002852,10003913,AF/IN,1579,BF/IN,1614
100060977,10002852,10006686,AF/IN,1579,BF/IN,1614
100060978,10002852,10006720,AF/IN,1579,BF/IN,1614
100060980,10002852,10007673,AF/IN,1589,BF/IN,1614
100060982,10002852,10007980,AF/IN,1579,BF/IN,1593
100060983,10002852,10008465,AF/IN,1579,BF/IN,1614
100060985,10002852,10008761,AF/IN,1579,BF/IN,1614
100060986,10002852,10009179,AF/IN,1581,BF/IN,1613
100060988,10002852,10009484,AF/IN,1579,BF/IN,1614
100060989,10002852,10010090,AF/IN,1589,BF/IN,1614
